borough,cuisine
Brooklyn,American 
Bronx,Bakery
Manhattan,Irish
Queens,Jewish/Kosher
Staten Island,Jewish/Kosher
Queens,American 
Brooklyn,Hamburgers
Brooklyn,Delicatessen
Brooklyn,American 
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices"
Brooklyn,American 
Brooklyn,Chinese
Brooklyn,Jewish/Kosher
Brooklyn,"Ice Cream, Gelato, Yogurt, Ices"
Queens,"Ice Cream, Gelato, Yogurt, Ices"
Brooklyn,Delicatessen
Manhattan,American 
Brooklyn,American 
Queens,Delicatessen
Bronx,American 
Manhattan,American 
Queens,Delicatessen
Manhattan,Chicken
Manhattan,American 
Manhattan,American 
Brooklyn,Hamburgers
Manhattan,Delicatessen
Queens,Chinese
Brooklyn,Caribbean
Manhattan,American 
Bronx,"Ice Cream, Gelato, Yogurt, Ices"
Brooklyn,Donuts
Brooklyn,American 
Bronx,Chinese
Manhattan,American 
Manhattan,Bakery
Manhattan,Turkish
Queens,Delicatessen
Staten Island,Delicatessen
Queens,Bagels/Pretzels
Manhattan,Continental
Queens,American 
Manhattan,Pizza
Manhattan,American 
Brooklyn,American 
Manhattan,Sandwiches/Salads/Mixed Buffet
Staten Island,"Ice Cream, Gelato, Yogurt, Ices"
Brooklyn,Chinese
Manhattan,Pizza
Queens,American 
Brooklyn,Jewish/Kosher
Bronx,Chinese
Staten Island,Delicatessen
Brooklyn,Italian
Staten Island,Delicatessen
Manhattan,Chicken
Brooklyn,Steak
Manhattan,American 
Manhattan,American 
Bronx,American 
Manhattan,American 
Manhattan,Italian
Manhattan,American 
Brooklyn,Polish
Manhattan,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
Manhattan,American 
Manhattan,American 
Manhattan,American 
Manhattan,American 
Queens,German
Manhattan,American 
Manhattan,Steak
Manhattan,French
Staten Island,American 
Brooklyn,American 
Manhattan,Italian
Manhattan,Continental
Brooklyn,American 
Manhattan,American 
Queens,American 
Manhattan,American 
Brooklyn,American 
Queens,Pizza/Italian
Queens,Pizza
Manhattan,American 
Bronx,American 
Staten Island,American 
Brooklyn,American 
Staten Island,Italian
Manhattan,Italian
Staten Island,American 
Manhattan,Irish
Manhattan,American 
Brooklyn,Donuts
Manhattan,Irish
Manhattan,French
Manhattan,Pizza
Manhattan,American 
Manhattan,Italian
Queens,Jewish/Kosher
Manhattan,Mexican
Brooklyn,Italian
Manhattan,American 
Manhattan,Italian
Manhattan,Spanish
Manhattan,French
Brooklyn,American 
Manhattan,American 
Manhattan,Donuts
Bronx,American 
Manhattan,Irish
Brooklyn,American 
Manhattan,Italian
Queens,Chinese
Queens,American 
Manhattan,American 
Manhattan,American 
Staten Island,American 
Brooklyn,Pizza
Manhattan,Italian
Manhattan,Italian
Brooklyn,Italian
Queens,American 
Queens,Italian
Manhattan,American 
Manhattan,Italian
Manhattan,Pizza
Bronx,Irish
Queens,American 
Manhattan,Café/Coffee/Tea
Manhattan,American 
Manhattan,Chinese
Queens,American 
Queens,American 
Queens,Pizza
Brooklyn,American 
Staten Island,Pizza/Italian
Queens,American 
Manhattan,Italian
Brooklyn,Italian
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
Queens,Italian
Staten Island,Pizza/Italian
Brooklyn,American 
Manhattan,Irish
Manhattan,American 
Manhattan,American 
Queens,Jewish/Kosher
Queens,American 
Brooklyn,American 
Bronx,American 
Manhattan,Spanish
Queens,Chinese
Manhattan,Irish
Queens,Irish
Queens,Jewish/Kosher
Manhattan,American 
Manhattan,Tex-Mex
Staten Island,American 
Manhattan,Chinese
Brooklyn,American 
Bronx,American 
Queens,Italian
Bronx,Pancakes/Waffles
Brooklyn,American 
Brooklyn,Pizza/Italian
Manhattan,Irish
Queens,American 
Queens,Spanish
Queens,American 
Staten Island,American 
Manhattan,American 
Brooklyn,Pizza/Italian
Manhattan,Mexican
Manhattan,Spanish
Bronx,American 
Brooklyn,American 
Manhattan,Irish
Brooklyn,Soul Food
Bronx,Café/Coffee/Tea
Queens,Irish
Queens,American 
Manhattan,American 
Queens,Pizza/Italian
Brooklyn,American 
Manhattan,American 
Manhattan,American 
Manhattan,American 
Queens,German
Manhattan,Italian
Manhattan,American 
Manhattan,American 
Manhattan,American 
Queens,American 
Manhattan,Jewish/Kosher
Queens,Italian
Manhattan,Spanish
Manhattan,American 
Staten Island,American 
Manhattan,Italian
Manhattan,American 
Manhattan,American 
Queens,Seafood
Manhattan,Hotdogs
Queens,Pizza
Brooklyn,Hamburgers
Brooklyn,Greek
Manhattan,Seafood
Queens,Hamburgers
Manhattan,Italian
Brooklyn,Pizza/Italian
Queens,Pizza/Italian
Manhattan,French
Staten Island,Italian
Bronx,Not Listed/Not Applicable
Bronx,African
Bronx,American 
Bronx,American 
Staten Island,Italian
Bronx,American 
Manhattan,American 
Bronx,Café/Coffee/Tea
Manhattan,Seafood
Brooklyn,Jewish/Kosher
Manhattan,American 
Manhattan,American 
Manhattan,American 
Manhattan,American 
Manhattan,American 
Staten Island,American 
Brooklyn,Italian
Manhattan,American 
Manhattan,Steak
Manhattan,American 
Manhattan,Italian
Brooklyn,American 
Manhattan,American 
Manhattan,American 
Manhattan,Spanish
Brooklyn,American 
Manhattan,American 
Manhattan,French
Queens,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
Queens,American 
Manhattan,Japanese
Manhattan,French
Manhattan,Italian
Manhattan,American 
Queens,Café/Coffee/Tea
Bronx,American 
Queens,Pizza/Italian
Manhattan,Greek
Brooklyn,American 
Manhattan,French
Manhattan,Japanese
Queens,American 
Queens,Pizza
Staten Island,American 
Bronx,Seafood
Manhattan,American 
Manhattan,French
Manhattan,American 
Brooklyn,Pizza
Manhattan,Japanese
Manhattan,American 
Manhattan,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
Manhattan,Café/Coffee/Tea
Brooklyn,Hamburgers
Brooklyn,Café/Coffee/Tea
Brooklyn,American 
Manhattan,American 
Bronx,Seafood
Brooklyn,Hamburgers
Queens,Hamburgers
Bronx,Hamburgers
Queens,Hamburgers
Bronx,American 
Brooklyn,Italian
Manhattan,American 
Manhattan,American 
Manhattan,American 
Brooklyn,Hamburgers
Manhattan,American 
Manhattan,Italian
Manhattan,Irish
Bronx,American 
Bronx,Hamburgers
Queens,Pizza/Italian
Manhattan,American 
